TIME,CH1
-8.836e-06,0.1488
-8.834e-06,0.1448
-8.832e-06,0.1504
-8.830e-06,0.1608
-8.828e-06,0.1616
-8.826e-06,0.1536
-8.824e-06,0.1456
-8.822e-06,0.1472
-8.820e-06,0.1568
-8.818e-06,0.1608
-8.816e-06,0.1568
-8.814e-06,0.1464
-8.812e-06,0.1464
-8.810e-06,0.1528
-8.808e-06,0.1624
-8.806e-06,0.16
-8.804e-06,0.152
-8.802e-06,0.1448
-8.800e-06,0.1496
-8.798e-06,0.1584
-8.796e-06,0.1616
-8.794e-06,0.156
-8.792e-06,0.148
-8.790e-06,0.1464
-8.788e-06,0.1536
-8.786e-06,0.16
-8.784e-06,0.1584
-8.782e-06,0.1488
-8.780e-06,0.1448
-8.778e-06,0.1512
-8.776e-06,0.1592
-8.774e-06,0.1584
-8.772e-06,0.1504
-8.770e-06,0.1448
-8.768e-06,0.148
-8.766e-06,0.1592
-8.764e-06,0.16
-8.762e-06,0.1536
-8.760e-06,0.1456
-8.758e-06,0.1472
-8.756e-06,0.156
-8.754e-06,0.1608
-8.752e-06,0.156
-8.750e-06,0.148
-8.748e-06,0.148
-8.746e-06,0.1544
-8.744e-06,0.16
-8.742e-06,0.1576
-8.740e-06,0.1512
-8.738e-06,0.1464
-8.736e-06,0.152
-8.734e-06,0.1592
-8.732e-06,0.1592
-8.730e-06,0.1536
-8.728e-06,0.148
-8.726e-06,0.1512
-8.724e-06,0.156
-8.722e-06,0.16
-8.720e-06,0.1568
-8.718e-06,0.1504
-8.716e-06,0.148
-8.714e-06,0.152
-8.712e-06,0.1584
-8.710e-06,0.1592
-8.708e-06,0.1512
-8.706e-06,0.1464
-8.704e-06,0.1496
-8.702e-06,0.1592
-8.700e-06,0.1592
-8.698e-06,0.1544
-8.696e-06,0.1464
-8.694e-06,0.1448
-8.692e-06,0.1568
-8.690e-06,0.16
-8.688e-06,0.156
-8.686e-06,0.1464
-8.684e-06,0.1448
-8.682e-06,0.1536
-8.680e-06,0.1624
-8.678e-06,0.1592
-8.676e-06,0.148
-8.674e-06,0.1424
-8.672e-06,0.1512
-8.670e-06,0.1616
-8.668e-06,0.1624
-8.666e-06,0.1512
-8.664e-06,0.1424
-8.662e-06,0.1472
-8.660e-06,0.16
-8.658e-06,0.1624
-8.656e-06,0.156
-8.654e-06,0.144
-8.652e-06,0.1432
-8.650e-06,0.1544
-8.648e-06,0.164
-8.646e-06,0.1584
-8.644e-06,0.1464
-8.642e-06,0.1424
-8.640e-06,0.1496
-8.638e-06,0.1624
-8.636e-06,0.1616
-8.634e-06,0.1504
-8.632e-06,0.1424
-8.630e-06,0.1464
-8.628e-06,0.1584
-8.626e-06,0.164
-8.624e-06,0.156
-8.622e-06,0.1448
-8.620e-06,0.1432
-8.618e-06,0.152
-8.616e-06,0.1616
-8.614e-06,0.1584
