TIME,CH1
-4.3230e-03,0.126
-4.3220e-03,0.128
-4.3210e-03,0.13
-4.3200e-03,0.126
-4.3190e-03,0.126
-4.3180e-03,0.126
-4.3170e-03,0.122
-4.3160e-03,0.12
-4.3150e-03,0.12
-4.3140e-03,0.12
-4.3130e-03,0.122
-4.3120e-03,0.126
-4.3110e-03,0.132
-4.3100e-03,0.13
-4.3090e-03,0.128
-4.3080e-03,0.128
-4.3070e-03,0.126
-4.3060e-03,0.126
-4.3050e-03,0.122
-4.3040e-03,0.126
-4.3030e-03,0.124
-4.3020e-03,0.132
-4.3010e-03,0.128
-4.3000e-03,0.132
-4.2990e-03,0.134
-4.2980e-03,0.126
-4.2970e-03,0.122
-4.2960e-03,0.122
-4.2950e-03,0.122
-4.2940e-03,0.122
-4.2930e-03,0.126
-4.2920e-03,0.124
-4.2910e-03,0.124
-4.2900e-03,0.124
-4.2890e-03,0.126
-4.2880e-03,0.116
-4.2870e-03,0.118
-4.2860e-03,0.116
-4.2850e-03,0.12
-4.2840e-03,0.122
-4.2830e-03,0.12
-4.2820e-03,0.118
-4.2810e-03,0.12
-4.2800e-03,0.116
-4.2790e-03,0.118
-4.2780e-03,0.12
-4.2770e-03,0.124
-4.2760e-03,0.126
-4.2750e-03,0.128
-4.2740e-03,0.136
-4.2730e-03,0.14
-4.2720e-03,0.138
-4.2710e-03,0.138
-4.2700e-03,0.14
-4.2690e-03,0.138
-4.2680e-03,0.138
-4.2670e-03,0.142
-4.2660e-03,0.14
-4.2650e-03,0.142
-4.2640e-03,0.14
-4.2630e-03,0.146
-4.2620e-03,0.14
-4.2610e-03,0.14
-4.2600e-03,0.138
-4.2590e-03,0.138
-4.2580e-03,0.14
-4.2570e-03,0.138
-4.2560e-03,0.142
-4.2550e-03,0.142
-4.2540e-03,0.142
-4.2530e-03,0.142
-4.2520e-03,0.136
-4.2510e-03,0.132
-4.2500e-03,0.134
-4.2490e-03,0.136
-4.2480e-03,0.14
-4.2470e-03,0.146
-4.2460e-03,0.146
-4.2450e-03,0.148
-4.2440e-03,0.152
-4.2430e-03,0.148
-4.2420e-03,0.152
-4.2410e-03,0.148
-4.2400e-03,0.148
-4.2390e-03,0.152
-4.2380e-03,0.152
-4.2370e-03,0.152
-4.2360e-03,0.146
-4.2350e-03,0.146
-4.2340e-03,0.146
-4.2330e-03,0.148
-4.2320e-03,0.15
-4.2310e-03,0.15
-4.2300e-03,0.154
-4.2290e-03,0.15
-4.2280e-03,0.15
-4.2270e-03,0.15
-4.2260e-03,0.142
-4.2250e-03,0.146
-4.2240e-03,0.142
-4.2230e-03,0.146
-4.2220e-03,0.146
-4.2210e-03,0.146
-4.2200e-03,0.142
-4.2190e-03,0.14
-4.2180e-03,0.14
-4.2170e-03,0.142
-4.2160e-03,0.14
-4.2150e-03,0.142
-4.2140e-03,0.146
-4.2130e-03,0.144
-4.2120e-03,0.144
-4.2110e-03,0.144
-4.2100e-03,0.136
-4.2090e-03,0.136
-4.2080e-03,0.134
-4.2070e-03,0.134
-4.2060e-03,0.142
-4.2050e-03,0.144
-4.2040e-03,0.142
-4.2030e-03,0.144
-4.2020e-03,0.148
-4.2010e-03,0.14
-4.2000e-03,0.136
-4.1990e-03,0.136
-4.1980e-03,0.14
-4.1970e-03,0.146
-4.1960e-03,0.146
-4.1950e-03,0.146
-4.1940e-03,0.148
-4.1930e-03,0.142
-4.1920e-03,0.14
-4.1910e-03,0.134
-4.1900e-03,0.136
-4.1890e-03,0.14
-4.1880e-03,0.14
-4.1870e-03,0.138
-4.1860e-03,0.136
-4.1850e-03,0.138
-4.1840e-03,0.132
-4.1830e-03,0.134
-4.1820e-03,0.134
-4.1810e-03,0.142
-4.1800e-03,0.144
-4.1790e-03,0.142
-4.1780e-03,0.144
-4.1770e-03,0.148
-4.1760e-03,0.14
-4.1750e-03,0.142
-4.1740e-03,0.14
-4.1730e-03,0.142
-4.1720e-03,0.148
-4.1710e-03,0.15
-4.1700e-03,0.156
-4.1690e-03,0.154
-4.1680e-03,0.158
-4.1670e-03,0.158
-4.1660e-03,0.158
-4.1650e-03,0.156
-4.1640e-03,0.156
-4.1630e-03,0.16
-4.1620e-03,0.16
-4.1610e-03,0.158
-4.1600e-03,0.156
-4.1590e-03,0.15
-4.1580e-03,0.148
-4.1570e-03,0.146
-4.1560e-03,0.146
-4.1550e-03,0.148
-4.1540e-03,0.15
-4.1530e-03,0.152
-4.1520e-03,0.15
-4.1510e-03,0.138
-4.1500e-03,0.148
-4.1490e-03,0.142
-4.1480e-03,0.146
-4.1470e-03,0.142
-4.1460e-03,0.144
-4.1450e-03,0.146
-4.1440e-03,0.142
-4.1430e-03,0.138
-4.1420e-03,0.134
-4.1410e-03,0.134
-4.1400e-03,0.134
-4.1390e-03,0.136
-4.1380e-03,0.138
-4.1370e-03,0.138
-4.1360e-03,0.136
-4.1350e-03,0.134
-4.1340e-03,0.132
-4.1330e-03,0.136
-4.1320e-03,0.138
-4.1310e-03,0.14
-4.1300e-03,0.142
-4.1290e-03,0.14
-4.1280e-03,0.138
-4.1270e-03,0.14
-4.1260e-03,0.148
-4.1250e-03,0.148
-4.1240e-03,0.148
-4.1230e-03,0.148
-4.1220e-03,0.148
-4.1210e-03,0.146
-4.1200e-03,0.138
-4.1190e-03,0.14
-4.1180e-03,0.146
-4.1170e-03,0.148
-4.1160e-03,0.152
-4.1150e-03,0.146
-4.1140e-03,0.148
-4.1130e-03,0.142
-4.1120e-03,0.14
