<<< Spectrum Data for LSA Series Signal Analyzer >>>
                  (c) Copyright 2008, Aeroflex.Ltd 2.002
*** Spectrum Infomation ***
Center,500000000,Hz
Span,1000000000,Hz
RBW,5000000,Hz
VBW,3000000,Hz
Sweep,10000,msec
*** Spectrum Trace ***
Num,TraceA(Hz),TraceA(dBm),TraceB(Hz),TraceB(dBm),TraceC(Hz),TraceC(dBm)
0175,316363636,-70.02,0,0.00,0,0.00
0176,318181818,-90.88,0,0.00,0,0.00
0177,320000000,-69.79,0,0.00,0,0.00
0178,321818182,-87.87,0,0.00,0,0.00
0179,323636364,-70.73,0,0.00,0,0.00
0180,325454545,-92.80,0,0.00,0,0.00
0181,327272727,-69.55,0,0.00,0,0.00
0182,329090909,-89.47,0,0.00,0,0.00
0183,330909091,-70.70,0,0.00,0,0.00
0184,332727273,-92.43,0,0.00,0,0.00
0185,334545455,-69.56,0,0.00,0,0.00
0186,336363636,-91.87,0,0.00,0,0.00
0187,338181818,-69.38,0,0.00,0,0.00
0188,340000000,-91.84,0,0.00,0,0.00
0189,341818182,-70.62,0,0.00,0,0.00
0190,343636364,-91.26,0,0.00,0,0.00
0191,345454545,-70.25,0,0.00,0,0.00
0192,347272727,-93.68,0,0.00,0,0.00
0193,349090909,-69.89,0,0.00,0,0.00
0194,350909091,-89.39,0,0.00,0,0.00
0195,352727273,-70.15,0,0.00,0,0.00
0196,354545455,-87.75,0,0.00,0,0.00
0197,356363636,-70.54,0,0.00,0,0.00
0198,358181818,-89.61,0,0.00,0,0.00
0199,360000000,-70.47,0,0.00,0,0.00
0200,361818182,-89.98,0,0.00,0,0.00
0201,363636364,-70.44,0,0.00,0,0.00
0202,365454545,-89.11,0,0.00,0,0.00
0203,367272727,-70.76,0,0.00,0,0.00
0204,369090909,-89.91,0,0.00,0,0.00
0205,370909091,-69.09,0,0.00,0,0.00
0206,372727273,-89.70,0,0.00,0,0.00
0207,374545455,-69.82,0,0.00,0,0.00
0208,376363636,-88.07,0,0.00,0,0.00
0209,378181818,-69.62,0,0.00,0,0.00
0210,380000000,-88.43,0,0.00,0,0.00
0211,381818182,-69.73,0,0.00,0,0.00
0212,383636364,-92.37,0,0.00,0,0.00
0213,385454545,-69.32,0,0.00,0,0.00
0214,387272727,-88.18,0,0.00,0,0.00
0215,389090909,-70.10,0,0.00,0,0.00
0216,390909091,-89.55,0,0.00,0,0.00
0217,392727273,-69.44,0,0.00,0,0.00
0218,394545455,-88.62,0,0.00,0,0.00
0219,396363636,-68.21,0,0.00,0,0.00
0220,398181818,-88.08,0,0.00,0,0.00
0221,400000000,-69.59,0,0.00,0,0.00
0222,401818182,-88.57,0,0.00,0,0.00
0223,403636364,-69.99,0,0.00,0,0.00
0224,405454545,-89.23,0,0.00,0,0.00
0225,407272727,-69.30,0,0.00,0,0.00
0226,409090909,-86.74,0,0.00,0,0.00
0227,410909091,-70.85,0,0.00,0,0.00
0228,412727273,-88.40,0,0.00,0,0.00
0229,414545455,-69.59,0,0.00,0,0.00
0230,416363636,-90.98,0,0.00,0,0.00
0231,418181818,-67.54,0,0.00,0,0.00
0232,420000000,-87.97,0,0.00,0,0.00
0233,421818182,-69.69,0,0.00,0,0.00
0234,423636364,-86.93,0,0.00,0,0.00
0235,425454545,-70.24,0,0.00,0,0.00
0236,427272727,-87.11,0,0.00,0,0.00
0237,429090909,-67.55,0,0.00,0,0.00
0238,430909091,-85.42,0,0.00,0,0.00
0239,432727273,-69.69,0,0.00,0,0.00
0240,434545455,-89.84,0,0.00,0,0.00
0241,436363636,-70.72,0,0.00,0,0.00
0242,438181818,-89.96,0,0.00,0,0.00
0243,440000000,-67.60,0,0.00,0,0.00
0244,441818182,-88.00,0,0.00,0,0.00
0245,443636364,-70.06,0,0.00,0,0.00
0246,445454545,-86.71,0,0.00,0,0.00
0247,447272727,-67.69,0,0.00,0,0.00
0248,449090909,-91.35,0,0.00,0,0.00
0249,450909091,-70.02,0,0.00,0,0.00
0250,452727273,-89.82,0,0.00,0,0.00
0251,454545455,-69.83,0,0.00,0,0.00
0252,456363636,-86.89,0,0.00,0,0.00
0253,458181818,-69.30,0,0.00,0,0.00
0254,460000000,-88.89,0,0.00,0,0.00
0255,461818182,-68.28,0,0.00,0,0.00
0256,463636364,-88.57,0,0.00,0,0.00
0257,465454545,-69.27,0,0.00,0,0.00
0258,467272727,-94.08,0,0.00,0,0.00
0259,469090909,-69.47,0,0.00,0,0.00
0260,470909091,-87.48,0,0.00,0,0.00
0261,472727273,-68.97,0,0.00,0,0.00
0262,474545455,-90.69,0,0.00,0,0.00
0263,476363636,-69.14,0,0.00,0,0.00
0264,478181818,-88.41,0,0.00,0,0.00
0265,480000000,-67.82,0,0.00,0,0.00
0266,481818182,-87.99,0,0.00,0,0.00
0267,483636364,-67.97,0,0.00,0,0.00
0268,485454545,-87.86,0,0.00,0,0.00
0269,487272727,-69.00,0,0.00,0,0.00
0270,489090909,-87.07,0,0.00,0,0.00
0271,490909091,-66.33,0,0.00,0,0.00
0272,492727273,-87.77,0,0.00,0,0.00
0273,494545455,-68.97,0,0.00,0,0.00
0274,496363636,-86.77,0,0.00,0,0.00
0275,498181818,-69.79,0,0.00,0,0.00
0276,500000000,-86.48,0,0.00,0,0.00
0277,501818182,-69.50,0,0.00,0,0.00
0278,503636364,-87.87,0,0.00,0,0.00
0279,505454545,-69.36,0,0.00,0,0.00
0280,507272727,-86.54,0,0.00,0,0.00
0281,509090909,-69.67,0,0.00,0,0.00
0282,510909091,-86.60,0,0.00,0,0.00
0283,512727273,-69.91,0,0.00,0,0.00
0284,514545455,-88.69,0,0.00,0,0.00
0285,516363636,-69.55,0,0.00,0,0.00
0286,518181818,-87.40,0,0.00,0,0.00
0287,520000000,-69.03,0,0.00,0,0.00
0288,521818182,-87.74,0,0.00,0,0.00
0289,523636364,-69.75,0,0.00,0,0.00
0290,525454545,-88.77,0,0.00,0,0.00
0291,527272727,-68.60,0,0.00,0,0.00
0292,529090909,-89.71,0,0.00,0,0.00
0293,530909091,-70.99,0,0.00,0,0.00
0294,532727273,-94.31,0,0.00,0,0.00
0295,534545455,-69.97,0,0.00,0,0.00
0296,536363636,-89.72,0,0.00,0,0.00
0297,538181818,-69.44,0,0.00,0,0.00
0298,540000000,-90.10,0,0.00,0,0.00
0299,541818182,-70.52,0,0.00,0,0.00
0300,543636364,-86.88,0,0.00,0,0.00
0301,545454545,-69.70,0,0.00,0,0.00
0302,547272727,-89.18,0,0.00,0,0.00
0303,549090909,-69.43,0,0.00,0,0.00
0304,550909091,-89.26,0,0.00,0,0.00
0305,552727273,-71.26,0,0.00,0,0.00
0306,554545455,-87.41,0,0.00,0,0.00
0307,556363636,-68.51,0,0.00,0,0.00
0308,558181818,-88.91,0,0.00,0,0.00
0309,560000000,-68.92,0,0.00,0,0.00
0310,561818182,-94.23,0,0.00,0,0.00
0311,563636364,-68.70,0,0.00,0,0.00
0312,565454545,-87.82,0,0.00,0,0.00
0313,567272727,-69.13,0,0.00,0,0.00
0314,569090909,-86.30,0,0.00,0,0.00
0315,570909091,-67.44,0,0.00,0,0.00
0316,572727273,-88.21,0,0.00,0,0.00
0317,574545455,-70.28,0,0.00,0,0.00
0318,576363636,-86.85,0,0.00,0,0.00
0319,578181818,-68.84,0,0.00,0,0.00
0320,580000000,-89.20,0,0.00,0,0.00
0321,581818182,-69.48,0,0.00,0,0.00
0322,583636364,-87.57,0,0.00,0,0.00
